degree,clustering_coef,betweenness,eigenvector,closeness
25.95946678,0.169954373,0,0.067575729,0.090385136
30.20643632,0.166527135,0.001040944,0.065860377,0.096193958
24.22992016,0.138091546,0,0.047806242,0.087284288
14.52327204,0.093171708,0.009368494,0.024335844,0.066203342
23.23250138,0.121805721,0,0.04864352,0.085063085
45.07973388,0.231704021,0,0.146716816,0.111725166
39.07715617,0.200816844,0.050312283,0.131819794,0.106227693
33.08045832,0.188653872,0,0.089389911,0.099976452
11.56052485,0.088907913,0.007055286,0.026897885,0.05748364
22.22216422,0.1539482,0,0.05743131,0.08395823
35.56308737,0.194877878,0,0.108990175,0.102770271
13.33008898,0.101032459,0.093916262,0.032612982,0.063080828
8.91125282,0.072693271,0.143650243,0.021409093,0.048124146
27.35950664,0.136386961,0.017811705,0.055343296,0.091914351
42.85505851,0.223470323,0,0.142607688,0.109794107
28.22394183,0.137347804,0.012722646,0.057368614,0.093089639
37.46838415,0.197494282,0.104210039,0.121598938,0.104727042
16.78723361,0.104491869,0.06315059,0.037030169,0.072072777
18.10917892,0.105183816,0.07980569,0.037766164,0.074950268
21.03371244,0.117817965,0.000231321,0.049717383,0.081054363
19.89032067,0.126388754,0.001272265,0.038019378,0.079206764
31.96148245,0.188217455,0.058755494,0.098774615,0.098676989
10.71520315,0.08384042,0.00011566,0.021881091,0.054650469
29.05494073,0.142473221,0,0.061671288,0.094308571
17.28503905,0.10736533,0.051700208,0.030467952,0.073295759
47.54341307,0.242238141,0,0.154668842,0.113636201
20.14540464,0.120459373,0.079111728,0.042428725,0.07952415
22.48105671,0.156848654,0,0.056253234,0.084458591
20.53619442,0.114860079,0.232361786,0.042902225,0.08016683
29.06406807,0.157836645,0.000231321,0.06435829,0.094567578
16.08439516,0.10528398,0.045223225,0.027800876,0.070406861
25.75242447,0.145845527,0,0.052335675,0.089762618
22.0135064,0.143543447,0,0.063484377,0.083415276
11.55049324,0.08922355,0.012606986,0.024622891,0.057466032
13.8180141,0.092673001,0.024404349,0.024431093,0.064249094
39.77991225,0.199622305,0.025098311,0.138054175,0.106835253
40.32239295,0.200474568,0,0.140073474,0.107333012
9.472768283,0.069159784,0.10976174,0.016206206,0.050242524
25.33320601,0.126329809,0.003816794,0.051627156,0.088669817
44.02984633,0.225974704,0.007980569,0.146990238,0.110780502
37.14917561,0.209563357,0,0.107127002,0.104656849
40.02812249,0.199512211,0.064191534,0.137019225,0.10710194
18.54116918,0.118014766,0.015035855,0.04125561,0.076243403
15.03456735,0.10074832,0.000231321,0.030314132,0.067625368
16.21904759,0.108184781,0.016076799,0.030585007,0.070795238
14.98551148,0.112064502,0.00011566,0.041099962,0.067701519
11.91382798,0.0886164,0.025445293,0.024773937,0.0586775
17.20963709,0.10475355,0.06858663,0.035165807,0.073084835
18.47865062,0.127277342,0.0111034,0.052853661,0.076158643
11.27129416,0.065877842,0.046958131,0.017057313,0.056237248
23.06343691,0.12655558,0.000809623,0.045760453,0.085025204
21.18950899,0.119894727,0.002313208,0.04396168,0.081455795
