Id,Label,timeset,modularity_class,node_size,modularity_class_bone
226,226,,1,1,8
227,227,,1,1,0
228,228,,0,1,0
229,229,,0,2,6
230,230,,5,1,8
231,231,,5,1,
232,232,,5,4,
233,233,,1,1,0
234,234,,0,1,0
235,235,,0,1,1
236,236,,0,1,2
237,237,,5,1,12
238,238,,0,1,1
239,239,,0,1,1
240,240,,3,2,1
241,241,,5,1,13
242,242,,0,2,12
243,243,,5,1,
244,244,,0,2,1
245,245,,5,1,15
246,246,,0,2,5
247,247,,0,1,
248,248,,1,1,0
249,249,,0,1,0
250,250,,1,1,0
251,251,,5,1,5
252,252,,0,1,1
253,253,,1,3,
254,254,,1,2,0
255,255,,5,1,0
256,256,,0,1,1
257,257,,5,1,
258,258,,0,1,8
259,259,,1,2,0
260,260,,1,1,0
261,261,,5,1,5
262,262,,5,1,6
263,263,,0,1,5
264,264,,0,4,1
265,265,,0,1,1
266,266,,3,1,5
267,267,,0,1,8
268,268,,5,1,8
269,269,,8,1,
272,272,,1,1,0
273,273,,3,4,0
274,274,,0,2,1
275,275,,1,3,0
276,276,,0,1,
277,277,,5,1,2
278,278,,5,1,
279,279,,5,1,13
280,280,,0,2,1
281,281,,5,1,14
282,282,,0,2,1
283,283,,5,2,
284,284,,5,2,6
285,285,,1,1,0
286,286,,5,1,8
287,287,,5,1,8
288,288,,5,2,12
289,289,,1,2,0
290,290,,0,1,16
291,291,,16,1,
292,292,,0,1,0
293,293,,3,1,1
294,294,,0,1,0
295,295,,0,1,1
296,296,,0,1,0
297,297,,0,1,0
298,298,,1,1,8
299,299,,1,2,9
300,300,,5,2,13
301,301,,5,1,16
302,302,,0,1,0
303,303,,1,3,0
304,304,,5,2,
305,305,,0,2,1
306,306,,5,1,15
307,307,,5,1,0
308,308,,5,2,8
309,309,,0,1,1
310,310,,1,1,6
311,311,,2,1,0
312,312,,0,1,0
313,313,,1,3,0
314,314,,0,1,8
315,315,,1,1,9
316,316,,5,1,13
317,317,,5,1,13
318,318,,5,1,
319,319,,5,1,
320,320,,4,2,8
321,321,,0,1,1
322,322,,0,1,0
323,323,,0,1,1
324,324,,5,1,12
325,325,,0,1,1
326,326,,5,1,1
327,327,,5,1,8
328,328,,0,1,5
329,329,,1,2,9
330,330,,0,1,0
331,331,,1,1,1
332,332,,8,2,
333,333,,5,1,2
334,334,,5,1,6
335,335,,5,1,8
336,336,,1,2,0
337,337,,5,2,10
338,338,,0,3,0
339,339,,1,1,8
340,340,,5,1,8
341,341,,1,4,0
342,342,,1,2,0
343,343,,5,1,6
344,344,,0,2,1
345,345,,1,1,8
346,346,,5,1,
347,347,,0,1,8
348,348,,0,2,1
349,349,,5,1,8
350,350,,0,1,8
351,351,,1,1,0
352,352,,1,1,1
353,353,,1,1,0
354,354,,0,2,0
355,355,,0,1,
356,356,,5,2,0
357,357,,13,1,
358,358,,5,1,1
359,359,,5,1,8
360,360,,5,1,0
361,361,,5,3,17
362,362,,0,1,1
363,363,,0,1,16
364,364,,1,2,8
365,365,,5,1,6
366,366,,0,1,1
367,367,,5,2,8
368,368,,0,2,1
369,369,,5,1,8
370,370,,5,1,5
371,371,,1,1,0
372,372,,0,1,8
373,373,,0,1,1
374,374,,0,3,1
375,375,,8,1,
376,376,,0,1,5
377,377,,1,1,9
378,378,,5,1,6
379,379,,5,4,0
380,380,,5,1,0
381,381,,5,1,
382,382,,0,4,9
383,383,,5,1,8
384,384,,5,1,9
385,385,,5,2,8
386,386,,5,2,1
387,387,,0,2,
388,388,,1,1,9
389,389,,1,2,0
390,390,,1,1,0
391,391,,5,1,
392,392,,1,1,0
393,393,,5,2,0
394,394,,5,1,
395,395,,5,1,0
396,396,,0,2,1
397,397,,5,1,
398,398,,5,2,
399,399,,0,1,1
400,400,,5,1,1
401,401,,5,1,8
403,403,,1,1,0
404,404,,0,1,5
405,405,,0,1,5
406,406,,5,1,6
407,407,,5,1,4
408,408,,0,1,1
409,409,,6,1,
410,410,,2,1,6
411,411,,0,2,1
412,412,,5,3,
413,413,,1,2,0
414,414,,5,1,6
415,415,,1,1,0
416,416,,3,1,5
417,417,,1,1,0
418,418,,1,1,0
419,419,,5,1,1
420,420,,5,1,6
421,421,,5,3,5
422,422,,5,1,8
423,423,,5,1,
424,424,,5,1,8
425,425,,0,1,5
426,426,,5,1,1
427,427,,5,2,8
428,428,,1,1,1
429,429,,5,1,5
430,430,,5,1,6
431,431,,5,1,8
432,432,,6,1,0
433,433,,0,1,
434,434,,0,1,18
435,435,,1,1,8
436,436,,5,2,2
437,437,,1,1,9
438,438,,0,1,0
439,439,,0,1,0
440,440,,0,2,1
441,441,,0,1,1
442,442,,1,2,8
443,443,,1,1,1
444,444,,1,2,0
445,445,,5,1,
446,446,,5,1,
447,447,,5,2,0
448,448,,5,1,0
449,449,,5,1,8
450,450,,5,1,1
451,451,,0,1,
452,452,,1,1,0
453,453,,5,2,0
454,454,,0,1,1
455,455,,5,3,17
456,456,,0,1,16
457,457,,0,1,0
458,458,,5,1,1
459,459,,1,1,8
460,460,,0,1,
461,461,,3,2,0
462,462,,5,2,8
463,463,,5,1,8
464,464,,5,1,8
465,465,,3,1,5
466,466,,5,1,8
467,467,,5,1,5
468,468,,0,2,1
469,469,,1,1,0
470,470,,5,1,8
471,471,,5,1,9
472,472,,5,1,
473,473,,0,1,1
474,474,,5,1,15
475,475,,5,1,6
476,476,,1,1,0
477,477,,5,2,6
478,478,,5,1,18
479,479,,5,1,15
480,480,,5,2,8
481,481,,1,2,1
482,482,,1,1,0
483,483,,0,1,8
484,484,,8,1,
485,485,,5,1,4
486,486,,5,1,0
487,487,,5,1,0
488,488,,0,1,1
489,489,,5,2,0
490,490,,1,1,4
491,491,,5,1,8
